DATE,COMMUNITY CODE,,ANIMAL,LICENSE VOLUME
04/01/2018,MCT,Mckenzie Towne,DOGS,1810
04/01/2018,MEA,Meadowlark Park,CATS,24
04/01/2018,MEA,Meadowlark Park,DOGS,81
04/01/2018,MER,Meridian,CATS,0
04/01/2018,MER,Meridian,DOGS,2
04/01/2018,MID,Midnapore,CATS,301
04/01/2018,MID,Midnapore,DOGS,655
04/01/2018,MLR,Millrise,CATS,217
04/01/2018,MLR,Millrise,DOGS,510
04/01/2018,MIS,Mission,CATS,128
04/01/2018,MIS,Mission,DOGS,198
04/01/2018,MOR,Monterey Park,CATS,161
04/01/2018,MOR,Monterey Park,DOGS,377
04/01/2018,MON,Montgomery,CATS,168
04/01/2018,MON,Montgomery,DOGS,420
04/01/2018,MOP,Mount Pleasant,CATS,234
04/01/2018,MOP,Mount Pleasant,DOGS,495
04/01/2018,NEB,New Brighton,CATS,333
04/01/2018,NEB,New Brighton,DOGS,1073
04/01/2018,NOL,Nolan Hill,CATS,84
04/01/2018,NOL,Nolan Hill,DOGS,269
04/01/2018,NAW,North Airways,CATS,0
04/01/2018,NAW,North Airways,DOGS,0
04/01/2018,NGM,North Glenmore Park,CATS,89
04/01/2018,NGM,North Glenmore Park,DOGS,287
04/01/2018,NHU,North Haven Upper,CATS,26
04/01/2018,NHU,North Haven Upper,DOGS,95
04/01/2018,NHV,North Haven,CATS,81
04/01/2018,NHV,North Haven,DOGS,220
04/01/2018,OAK,Oakridge,CATS,253
04/01/2018,OAK,Oakridge,DOGS,615
04/01/2018,OSH,Ogden Shops,CATS,0
04/01/2018,OSH,Ogden Shops,DOGS,0
04/01/2018,OGD,Ogden,CATS,454
04/01/2018,OGD,Ogden,DOGS,1068
04/01/2018,PAL,Palliser,CATS,141
04/01/2018,PAL,Palliser,DOGS,232
04/01/2018,PAN,Panorama Hills,CATS,333
04/01/2018,PAN,Panorama Hills,DOGS,1114
04/01/2018,PKD,Parkdale,CATS,70
04/01/2018,PKD,Parkdale,DOGS,193
04/01/2018,PKH,Parkhill,CATS,43
04/01/2018,PKH,Parkhill,DOGS,160
04/01/2018,PKL,Parkland,CATS,130
04/01/2018,PKL,Parkland,DOGS,461
04/01/2018,PAT,Patterson,CATS,123
04/01/2018,PAT,Patterson,DOGS,298
04/01/2018,PEG,Pegasus,CATS,0
04/01/2018,PEG,Pegasus,DOGS,0
04/01/2018,PEN,Penbrooke Meadows,CATS,243
04/01/2018,PEN,Penbrooke Meadows,DOGS,519
04/01/2018,PIN,Pineridge,CATS,329
04/01/2018,PIN,Pineridge,DOGS,626
04/01/2018,POI,Point Mckay,CATS,53
04/01/2018,POI,Point Mckay,DOGS,102
04/01/2018,PUM,Pump Hill,CATS,21
04/01/2018,PUM,Pump Hill,DOGS,93
04/01/2018,QPK,Queens Park Village,CATS,13
04/01/2018,QPK,Queens Park Village,DOGS,14
04/01/2018,QLD,Queensland,CATS,230
04/01/2018,QLD,Queensland,DOGS,536
04/01/2018,RAM,Ramsay,CATS,123
04/01/2018,RAM,Ramsay,DOGS,216
04/01/2018,RAN,Ranchlands,CATS,344
04/01/2018,RAN,Ranchlands,DOGS,688
04/01/2018,RED,Red Carpet,CATS,104
04/01/2018,RED,Red Carpet,DOGS,129
04/01/2018,REN,Renfrew,CATS,290
04/01/2018,REN,Renfrew,DOGS,539
04/01/2018,RIC,Richmond,CATS,162
04/01/2018,RIC,Richmond,DOGS,461
04/01/2018,RID,Rideau Park,CATS,20
04/01/2018,RID,Rideau Park,DOGS,62
04/01/2018,RIV,Riverbend,CATS,420
04/01/2018,RIV,Riverbend,DOGS,1178
04/01/2018,ROC,Rocky Ridge,CATS,226
04/01/2018,ROC,Rocky Ridge,DOGS,630
04/01/2018,RDL,Rosedale,CATS,60
04/01/2018,RDL,Rosedale,DOGS,159
04/01/2018,RMT,Rosemont,CATS,52
04/01/2018,RMT,Rosemont,DOGS,100
04/01/2018,RCK,Rosscarrock,CATS,103
04/01/2018,RCK,Rosscarrock,DOGS,179
04/01/2018,ROX,Roxboro,CATS,13
04/01/2018,ROX,Roxboro,DOGS,50
04/01/2018,ROY,Royal Oak,CATS,276
04/01/2018,ROY,Royal Oak,DOGS,779
