DATE,COMMUNITY CODE,COMMUNITY NAME,ANIMAL,LICENSE VOLUME
04/01/2018,MOP,MOUNT PLEASANT,DOGS,495
04/01/2018,NEB,NEW BRIGHTON,CATS,333
04/01/2018,NEB,NEW BRIGHTON,DOGS,1073
04/01/2018,NOL,NOLAN HILL,CATS,84
04/01/2018,NOL,NOLAN HILL,DOGS,269
04/01/2018,NAW,NORTH AIRWAYS,CATS,0
04/01/2018,NAW,NORTH AIRWAYS,DOGS,0
04/01/2018,NGM,NORTH GLENMORE PARK,CATS,89
04/01/2018,NGM,NORTH GLENMORE PARK,DOGS,287
04/01/2018,NHU,NORTH HAVEN UPPER,CATS,26
04/01/2018,NHU,NORTH HAVEN UPPER,DOGS,95
04/01/2018,NHV,NORTH HAVEN,CATS,81
04/01/2018,NHV,NORTH HAVEN,DOGS,220
04/01/2018,OAK,OAKRIDGE,CATS,253
04/01/2018,OAK,OAKRIDGE,DOGS,615
04/01/2018,OSH,OGDEN SHOPS,CATS,0
04/01/2018,OSH,OGDEN SHOPS,DOGS,0
04/01/2018,OGD,OGDEN,CATS,454
04/01/2018,OGD,OGDEN,DOGS,1068
04/01/2018,PAL,PALLISER,CATS,141
04/01/2018,PAL,PALLISER,DOGS,232
04/01/2018,PAN,PANORAMA HILLS,CATS,333
04/01/2018,PAN,PANORAMA HILLS,DOGS,1114
04/01/2018,PKD,PARKDALE,CATS,70
04/01/2018,PKD,PARKDALE,DOGS,193
04/01/2018,PKH,PARKHILL,CATS,43
04/01/2018,PKH,PARKHILL,DOGS,160
04/01/2018,PKL,PARKLAND,CATS,130
04/01/2018,PKL,PARKLAND,DOGS,461
04/01/2018,PAT,PATTERSON,CATS,123
04/01/2018,PAT,PATTERSON,DOGS,298
04/01/2018,PEG,PEGASUS,CATS,0
04/01/2018,PEG,PEGASUS,DOGS,0
04/01/2018,PEN,PENBROOKE MEADOWS,CATS,243
04/01/2018,PEN,PENBROOKE MEADOWS,DOGS,519
04/01/2018,PIN,PINERIDGE,CATS,329
04/01/2018,PIN,PINERIDGE,DOGS,626
04/01/2018,POI,POINT MCKAY,CATS,53
04/01/2018,POI,POINT MCKAY,DOGS,102
04/01/2018,PUM,PUMP HILL,CATS,21
04/01/2018,PUM,PUMP HILL,DOGS,93
04/01/2018,QPK,QUEENS PARK VILLAGE,CATS,13
04/01/2018,QPK,QUEENS PARK VILLAGE,DOGS,14
04/01/2018,QLD,QUEENSLAND,CATS,230
04/01/2018,QLD,QUEENSLAND,DOGS,536
04/01/2018,RAM,RAMSAY,CATS,123
04/01/2018,RAM,RAMSAY,DOGS,216
04/01/2018,RAN,RANCHLANDS,CATS,344
04/01/2018,RAN,RANCHLANDS,DOGS,688
04/01/2018,RED,RED CARPET,CATS,104
04/01/2018,RED,RED CARPET,DOGS,129
04/01/2018,REN,RENFREW,CATS,290
04/01/2018,REN,RENFREW,DOGS,539
04/01/2018,RIC,RICHMOND,CATS,162
04/01/2018,RIC,RICHMOND,DOGS,461
04/01/2018,RID,RIDEAU PARK,CATS,20
04/01/2018,RID,RIDEAU PARK,DOGS,62
04/01/2018,RIV,RIVERBEND,CATS,420
04/01/2018,RIV,RIVERBEND,DOGS,1178
04/01/2018,ROC,ROCKY RIDGE,CATS,226
04/01/2018,ROC,ROCKY RIDGE,DOGS,630
04/01/2018,RDL,ROSEDALE,CATS,60
04/01/2018,RDL,ROSEDALE,DOGS,159
04/01/2018,RMT,ROSEMONT,CATS,52
